Timestamp_s,RED,IR
15.6856,58989,59388
15.7277,58850,59183
15.7431,58726,58974
15.7687,58653,58781
15.7905,58617,58706
15.8071,58607,58693
15.8313,58617,58712
15.8536,58674,58816
15.8826,58723,58888
15.904,58754,58928
15.9254,58790,58993
15.9432,58799,58991
15.9663,58767,58981
15.9777,58759,58949
16.009,58747,58925
16.0195,58714,58900
16.0464,58716,58876
16.0824,58766,58921
16.0954,58747,58952
16.12,58800,58987
16.1366,58813,59010
16.1654,58853,59064
16.1856,58859,59091
16.2137,58878,59114
16.2208,58885,59174
16.2482,58904,59199
16.2833,58900,59210
16.2983,58907,59249
16.3258,58920,59268
16.3384,58962,59294
16.36,58968,59321
16.3801,58983,59345
16.4089,59000,59381
16.4214,59002,59404
16.4492,59033,59434
16.471,59037,59458
16.5046,59048,59489
16.5056,59015,59439
16.5382,58744,59000
16.5609,58605,58783
16.5752,58548,58623
16.6029,58526,58558
16.6227,58478,58532
16.6445,58554,58586
16.6645,58609,58651
16.6986,58581,58696
16.7063,58616,58748
16.736,58648,58807
16.7486,58674,58798
16.7831,58664,58820
16.7988,58644,58746
16.8253,58625,58713
16.8428,58601,58696
16.8599,58573,58674
16.8877,58661,58711
16.9144,58633,58732
16.9292,58682,58765
16.9496,58677,58813
16.9779,58679,58878
17.0074,58775,58870
17.0197,58765,58951
17.0404,58750,59001
17.0683,58790,59044
17.0865,58791,59039
17.1089,58826,59073
17.1236,58824,59075
17.1616,58829,59115
17.1717,58852,59143
17.1975,58864,59152
17.2154,58889,59191
17.254,58895,59250
17.255,58919,59264
17.2837,58920,59347
17.3057,58961,59351
17.325,58913,59276
17.3452,58782,59096
17.3749,58630,58877
17.3869,58503,58636
17.4143,58447,58490
17.4373,58438,58430
17.463,58415,58470
17.4769,58472,58514
17.4987,58481,58552
17.5266,58505,58585
17.5542,58540,58631
17.5703,58557,58651
17.5891,58542,58663
17.6189,58521,58644
17.6433,58504,58592
17.6584,58482,58585
17.6793,58504,58539
17.7113,58526,58598
17.7133,58539,58607
17.748,58571,58670
17.7552,58575,58717
17.7969,58611,58743
17.8126,58639,58807
17.8322,58658,58823
17.8518,58691,58850
17.8737,58699,58891
17.9014,58735,58918
17.9259,58742,58974
17.9459,58747,59017
17.966,58768,59047
17.9926,58759,59050
18.0196,58788,59062
18.0344,58803,59076
18.0557,58811,59106
18.0741,58810,59148
18.0964,58841,59161
18.1327,58875,59226
18.1424,58816,59243
18.1658,58776,59121
18.1719,58630,58889
18.2065,58477,58662
18.2338,58389,58461
18.2556,58339,58361
18.2754,58315,58315
18.2904,58392,58338
18.324,58370,58402
18.3473,58421,58481
18.3667,58454,58547
18.3806,58534,58634
18.4085,58502,58581
18.4282,58505,58577
18.4622,58440,58568
18.4703,58432,58487
18.4959,58401,58537
18.5324,58428,58546
18.5388,58451,58549
18.5633,58455,58515
18.5831,58516,58586
18.6033,58598,58661
18.6296,58547,58724
18.6537,58589,58727
18.665,58625,58766
18.6913,58613,58818
18.7155,58634,58843
18.7348,58651,58818
18.7546,58655,58895
18.7763,58648,58888
18.8155,58674,58917
18.8238,58636,58934
18.848,58676,58946
18.8666,58688,58978
18.8887,58701,59019
18.9011,58720,59057
18.9363,58741,59059
18.9544,58649,58968
18.9773,58536,58764
18.9986,58420,58564
19.0184,58279,58376
19.0484,58219,58224
19.0604,58270,58257
19.1021,58272,58329
19.1021,58323,58372
19.1322,58373,58439
19.153,58397,58492
19.1864,58438,58559
19.1924,58431,58563
19.2221,58414,58544
19.227,58391,58505
19.2695,58361,58420
19.2893,58360,58449
19.3042,58359,58462
19.324,58398,58499
19.3642,58420,58540
19.3662,58438,58596
19.3993,58476,58619
19.417,58494,58672
19.4362,58494,58710
19.4698,58519,58734
19.4917,58571,58791
19.5088,58541,58836
19.5264,58573,58830
19.5544,58598,58875
19.574,58602,58885
19.5948,58613,58903
19.6087,58620,58913
19.6489,58635,58926
19.6589,58658,58967
19.6781,58656,58990
19.7071,58683,59012
